Round,Pick,Team,Player,Position,School
3,105,San Francisco 49ers,Danny Gray,WR,SMU
4,106,Tampa Bay Buccaneers,Cade Otton,TE,Washington
4,107,Houston Texans,Dameon Pierce,RB,Florida
4,108,Cleveland Browns,Perrion Winfrey,DT,Oklahoma
4,109,Seattle Seahawks,Coby Bryant,CB,Cincinnati
4,110,Baltimore Ravens,Danniel Faalele,OT,Minnesota
4,111,New York Jets,Max Mitchell,OT,Louisiana
4,112,New York Giants,Daniel Bellinger,TE,San Diego St.
4,113,Washington Commanders,Percy Butler,S,Louisiana
4,114,New York Giants,Dane Belton,S,Iowa
4,115,Denver Broncos,Damarri Mathis,CB,Pitt
4,116,Denver Broncos,Eyioma Uwazurike,DE,Iowa State
4,117,New York Jets,Michael Clemons,DE,Texas A&M
4,118,Minnesota Vikings,Akayleb Evans,CB,Missouri
4,119,Baltimore Ravens,Jalyn Armour-Davis,CB,Alabama
4,120,Carolina Panthers,Brandon Smith,LB,Penn State
4,121,New England Patriots,Jack Jones,CB,Arizona State
4,122,Las Vegas Raiders,Zamir White,RB,Georgia
4,123,Los Angeles Chargers,Isaiah Spiller,RB,Texas A&M
4,124,Cleveland Browns,Cade York,K,LSU
4,125,Miami Dolphins,Erik Ezukanma,WR,Texas Tech
4,126,Las Vegas Raiders,Neil Farrell Jr.,DT,LSU
4,127,New England Patriots,Pierre Strong Jr.,RB,South Dakota St.
4,128,Baltimore Ravens,Charlie Kolar,TE,Iowa State
4,129,Dallas Cowboys,Jake Ferguson,TE,Wisconsin
4,130,Baltimore Ravens,Jordan Stout,P,Penn State
4,131,Tennessee Titans,Hassan Haskins,RB,Michigan
4,132,Green Bay Packers,Romeo Doubs,WR,Nevada
4,133,Tampa Bay Buccaneers,Jake Camarda,P,Georgia
4,134,San Francisco 49ers,Spencer Burford,OT,UTSA
4,135,Kansas City Chiefs,Joshua Williams,CB,Fayetteville St.
4,136,Cincinnati Bengals,Cordell Volson,OT,North Dakota St.
4,137,New England Patriots,Bailey Zappe,QB,Western Kentucky
4,138,Pittsburgh Steelers,Calvin Austin III,WR,Memphis
4,139,Baltimore Ravens,Isaiah Likely,TE,Coastal Carolina
4,140,Green Bay Packers,Zach Tom,OT,Wake Forest
4,141,Baltimore Ravens,Damarion Williams,CB,Houston
4,142,Los Angeles Rams,Decobie Durant,CB,South Carolina St.
4,143,Tennessee Titans,Chigoziem Okonkwo,TE,Maryland
5,144,Washington Commanders,Sam Howell,QB,North Carolina
5,145,Kansas City Chiefs,Darian Kinnard,OT,Kentucky
5,146,New York Giants,Micah McFadden,LB,Indiana
5,147,New York Giants,DJ Davidson,DT,Arizona State
5,148,Buffalo Bills,Khalil Shakir,WR,Boise State
5,149,Washington Commanders,Cole Turner,TE,Nevada
5,150,Houston Texans,Thomas Booker,DE,Stanford
5,151,Atlanta Falcons,Tyler Allgeier,RB,BYU
5,152,Denver Broncos,Delarrin Turner-Yell,S,Oklahoma
5,153,Seattle Seahawks,Tariq Woolen,CB,UTSA
5,154,Jacksonville Jaguars,Snoop Conner,RB,Ole Miss
5,155,Dallas Cowboys,Matt Waletzko,OT,North Dakota St.
5,156,Cleveland Browns,Jerome Ford,RB,Cincinnati
5,157,Tampa Bay Buccaneers,Zyon McCollum,CB,Sam Houston St.
5,158,Seattle Seahawks,Tyreke Smith,DE,Ohio State
5,159,Indianapolis Colts,Eric Johnson,DT,Missouri State
5,160,Los Angeles Chargers,Otito Ogbonnia,DT,UCLA
5,161,New Orleans Saints,D'Marco Jackson,LB,App. State
5,162,Denver Broncos,Montrell Washington,WR,Samford
5,163,Tennessee Titans,Kyle Phillips,WR,UCLA
5,164,Los Angeles Rams,Kyren Williams,RB,Notre Dame
5,165,Minnesota Vikings,Esezi Otomewo,DE,Minnesota
5,166,Cincinnati Bengals,Tycen Anderson,S,Toledo
5,167,Dallas Cowboys,DaRon Bland,CB,Fresno State
5,168,Chicago Bears,Braxton Jones,OT,Southern Utah
5,169,Minnesota Vikings,Ty Chandler,RB,North Carolina
5,170,Houston Texans,Teagan Quitoriano,TE,Oregon State
5,171,Denver Broncos,Luke Wattenberg,C,Washington
5,172,San Francisco 49ers,Samuel Womack,CB,Toledo
5,173,New York Giants,Marcus McKethan,OG,North Carolina
5,174,Chicago Bears,Dominique Robinson,LB,Miami-OH
5,175,Las Vegas Raiders,Matthew Butler,DT,Tennessee
5,176,Dallas Cowboys,Damone Clark,LB,LSU
5,177,Detroit Lions,James Mitchell,TE,Virginia Tech
5,178,Dallas Cowboys,John Ridgeway,DT,Arkansas
5,179,Green Bay Packers,Kingsley Enagbare,LB,South Carolina
6,180,Buffalo Bills,Matt Araiza,P,San Diego St.
6,181,Philadelphia Eagles,Kyron Johnson,LB,Kansas
6,182,New York Giants,Darrian Beavers,LB,Cincinnati
6,183,New England Patriots,Kevin Harris,RB,South Carolina
6,184,Minnesota Vikings,Vederian Lowe,OT,Illinois
6,185,Buffalo Bills,Christian Benford,CB,Villanova
6,186,Chicago Bears,Zachary Thomas,OT,San Diego St.
6,187,San Francisco 49ers,Nick Zakelj,OT,Fordham
6,188,Detroit Lions,Malcolm Rodriguez,LB,Oklahoma St.
6,189,Carolina Panthers,Amare Barno,LB,Virginia Tech
6,190,Atlanta Falcons,Justin Shaffer,OG,Georgia
6,191,Minnesota Vikings,Jalen Nailor,WR,Michigan St.
6,192,Indianapolis Colts,Andrew Ogletree,TE,Youngstown St.
6,193,Dallas Cowboys,Devin Harper,LB,Oklahoma St.
6,194,New Orleans Saints,Jordan Jackson,DT,Air Force
6,195,Los Angeles Chargers,Jamaree Salyer,OG,Georgia
6,196,Baltimore Ravens,Tyler Badie,RB,Missouri
6,197,Jacksonville Jaguars,Gregory Junior,CB,Ouachita Baptist
6,198,Philadelphia Eagles,Grant Calcaterra,TE,SMU
6,199,Carolina Panthers,Cade Mays,OG,Tennessee
6,200,New England Patriots,Sam Roberts,DT,NW Missouri St.
6,201,Arizona Cardinals,Keaontay Ingram,RB,USC
6,202,Cleveland Browns,Michael Woods II,WR,Oklahoma
6,203,Chicago Bears,Trestan Ebner,RB,Baylor
6,204,Tennessee Titans,Theo Jackson,S,Tennessee
6,205,Houston Texans,Austin Deculus,OT,LSU
6,206,Denver Broncos,Matt Henningsen,DT,Wisconsin
6,207,Chicago Bears,Doug Kramer,C,Illinois
6,208,Pittsburgh Steelers,Connor Heyward,FB,Michigan St.
6,209,Buffalo Bills,Luke Tenuta,OT,Virginia Tech
6,210,New England Patriots,Chasen Hines,OG,LSU
6,211,Los Angeles Rams,Quentin Lake,S,UCLA
6,212,Los Angeles Rams,Derion Kendrick,CB,Georgia
6,213,Atlanta Falcons,John FitzPatrick,TE,Georgia
6,214,Los Angeles Chargers,Ja'Sir Taylor,CB,Wake Forest
6,215,Arizona Cardinals,Lecitus Smith,OG,Virginia Tech
6,216,Indianapolis Colts,Curtis Brooks,DT,Cincinnati
6,217,Detroit Lions,James Houston,LB,Jackson State
6,218,Tampa Bay Buccaneers,Ko Kieft,TE,Minnesota
6,219,Tennessee Titans,Chance Campbell,LB,Ole Miss
6,220,San Francisco 49ers,Kalia Davis,DT,UCF
6,221,San Francisco 49ers,Tariq Castro-Fields,CB,Penn State
7,222,Jacksonville Jaguars,Montaric Brown,CB,Arkansas
7,223,Cleveland Browns,Isaiah Thomas,DE,Oklahoma
7,224,Miami Dolphins,Cameron Goode,LB,Cal
7,225,Pittsburgh Steelers,Mark Robinson,LB,Ole Miss
7,226,Chicago Bears,J'Atyre Carter,OG,Southern
7,227,Minnesota Vikings,Nick Muse,TE,South Carolina
7,228,Green Bay Packers,Tariq Carpenter,LB,Georgia Tech
7,229,Seattle Seahawks,Bo Melton,WR,Rutgers
7,230,Washington Commanders,Chris Paul,OG,Tulsa
7,231,Buffalo Bills,Baylon Spector,LB,Clemson
7,232,Denver Broncos,Falon Hicks,CB,Wisconsin
7,233,Seattle Seahawks,Dareke Young,WR,Lenoir-Rhyne
7,234,Green Bay Packers,Jonathan Ford,DT,Miami
7,235,Los Angeles Rams,Daniel Hardy,LB,Montana St.
7,236,Los Angeles Chargers,Deane Leonard,CB,Ole Miss
7,237,Detroit Lions,Chase Lucas,CB,Arizona State
7,238,Las Vegas Raiders,Thayer Munford,OT,Ohio State
7,239,Indianapolis Colts,Rodney Thomas,DB,Yale
7,240,Washington Commanders,Christian Holmes,CB,Oklahoma St.
7,241,Pittsburgh Steelers,Chris Oladokun,QB,South Dakota St.
7,242,Carolina Panthers,Kalon Barnes,CB,Baylor
7,243,Kansas City Chiefs,Jaylen Watson,CB,Washington St.
7,244,Arizona Cardinals,Christian Matthew,CB,Valdosta St.
7,245,New England Patriots,Andrew Stueber,OG,Michigan
7,246,Cleveland Browns,Dawson Deaton,C,Texas Tech
7,247,Miami Dolphins,Skylar Thompson,QB,Kansas State
7,248,Tampa Bay Buccaneers,Andre Anthony,DE,LSU
7,249,Green Bay Packers,Rasheed Walker,OT,Penn State
7,250,Las Vegas Raiders,Brittain Brown,RB,UCLA
7,251,Kansas City Chiefs,Isaih Pacheco,RB,Rutgers
7,252,Cincinnati Bengals,Jeffrey Gunter,DE,Coastal Carolina
7,253,Los Angeles Rams,Russ Yeast,S,Kansas State
7,254,Chicago Bears,Elijah Hicks,S,Cal
7,255,Chicago Bears,Trenton Gill,P,NC State
7,256,Arizona Cardinals,Jesse Luketa,LB,Penn State
7,257,Arizona Cardinals,Marquis Hayes,OG,Oklahoma
7,258,Green Bay Packers,Samori Toure,WR,Nebraska
7,259,Kansas City Chiefs,Nazeeh Johnson,S,Marshall
7,260,Los Angeles Chargers,Zander Horvath,FB,Purdue
7,261,Los Angeles Rams,AJ Arcuri,OT,Michigan State
7,262,San Francisco 49ers,Brock Purdy,QB,Iowa State
